employee_id,age,gender,years_at_company,job_role,monthly_income,work_life_balance,job_satisfaction,performance_rating,number_of_promotions,overtime,distance_from_home,education_level,marital_status,number_of_dependents,job_level,company_size,remote_work,leadership_opportunities,innovation_opportunities,company_reputation,employee_recognition,attrition
64756,59,Female,4,Media,5534,Poor,High,Low,3,No,21,Master’s Degree,Divorced,3,Mid,Medium,No,No,No,Fair,Low,1
65791,36,Female,7,Education,3989,Good,High,High,1,No,27,High School,Single,2,Mid,Small,Yes,No,No,Good,Medium,1
24368,38,Female,3,Technology,9977,Fair,High,Below Average,3,No,37,Bachelor’s Degree,Married,0,Mid,Medium,No,No,Yes,Fair,High,0
64970,47,Male,23,Education,3681,Fair,High,High,1,Yes,75,High School,Divorced,3,Entry,Small,No,No,No,Good,Medium,0
36999,48,Male,16,Finance,11223,Excellent,Very High,High,2,No,5,Master’s Degree,Married,4,Entry,Medium,No,No,No,Excellent,Low,1
15944,24,Female,1,Healthcare,7319,Poor,High,Average,1,Yes,57,PhD,Single,4,Entry,Large,No,No,Yes,Good,Low,0
29972,30,Female,12,Education,5443,Good,High,Average,1,No,51,High School,Single,1,Entry,Small,No,No,No,Good,Medium,0
9063,29,Female,6,Healthcare,8950,Poor,Medium,Low,2,No,26,Master’s Degree,Single,0,Mid,Medium,No,No,No,Poor,Medium,0
17696,40,Female,4,Finance,5176,Poor,High,Average,0,No,48,High School,Single,0,Entry,Small,Yes,No,No,Good,High,0
19288,33,Female,1,Finance,8733,Good,High,Below Average,1,Yes,86,High School,Single,0,Mid,Small,No,No,No,Good,Low,1
9697,29,Male,9,Healthcare,7538,Fair,Medium,Average,0,No,10,Bachelor’s Degree,Married,0,Senior,Small,No,No,No,Good,High,1
45399,57,Female,33,Healthcare,8201,Good,Very High,Average,0,No,95,PhD,Married,1,Mid,Medium,No,No,No,Fair,Medium,1
58984,39,Female,1,Finance,8079,Excellent,High,High,1,No,23,Master’s Degree,Single,0,Entry,Medium,No,No,No,Poor,Low,0
24208,36,Male,13,Media,5874,Fair,High,Average,0,No,16,High School,Single,1,Mid,Medium,No,No,No,Good,High,0
14291,54,Male,5,Education,4656,Good,Medium,Average,0,Yes,63,High School,Single,0,Mid,Medium,No,No,No,Good,Low,0
20748,48,Male,9,Education,4987,Fair,High,Average,1,No,92,Associate Degree,Divorced,0,Entry,Medium,No,No,Yes,Good,Medium,0
65251,45,Female,21,Healthcare,7571,Good,Very High,Average,1,Yes,30,Associate Degree,Married,1,Entry,Small,Yes,No,No,Fair,Medium,1
61864,42,Male,1,Technology,8874,Good,Medium,Average,1,No,31,Associate Degree,Divorced,2,Entry,Small,No,No,No,Poor,Very High,1
15737,37,Male,2,Technology,9293,Good,High,Below Average,0,No,55,Bachelor’s Degree,Married,0,Mid,Small,No,No,Yes,Fair,Low,1
51448,37,Male,6,Finance,7701,Fair,High,Below Average,0,Yes,32,High School,Married,1,Entry,Medium,No,Yes,Yes,Good,Low,1
8881,37,Male,9,Healthcare,8632,Fair,High,Average,2,No,8,Master’s Degree,Divorced,2,Senior,Medium,Yes,No,No,Poor,High,1
17543,45,Female,27,Media,5315,Good,High,Average,2,Yes,74,Associate Degree,Married,4,Entry,Small,No,No,Yes,Poor,Low,1
74472,57,Female,23,Media,5938,Excellent,Very High,Average,2,Yes,3,Master’s Degree,Divorced,3,Mid,Medium,No,No,No,Good,Medium,1
64075,42,Female,2,Media,6213,Fair,High,Average,0,No,5,Bachelor’s Degree,Single,4,Entry,Small,No,No,No,Good,Medium,0
24350,56,Female,22,Media,6605,Excellent,High,Below Average,2,Yes,47,Bachelor’s Degree,Married,2,Mid,Medium,No,No,No,Good,Low,1
72189,34,Male,12,Finance,8274,Good,Very High,Below Average,0,Yes,67,Bachelor’s Degree,Single,1,Entry,Medium,No,No,No,Poor,Low,0
36437,56,Male,7,Technology,9878,Good,Very High,Average,2,No,58,Master’s Degree,Single,1,Entry,Small,No,No,No,Good,Low,0
26304,25,Female,2,Healthcare,6690,Fair,Low,High,0,Yes,14,Associate Degree,Married,2,Entry,Medium,Yes,No,No,Good,Medium,1
33177,25,Female,3,Healthcare,8397,Excellent,High,Below Average,0,Yes,36,Bachelor’s Degree,Married,3,Entry,Small,Yes,No,No,Poor,Low,1
70003,36,Male,8,Technology,9775,Fair,High,Average,1,Yes,79,Bachelor’s Degree,Single,1,Mid,Medium,No,No,Yes,Good,High,0
30924,55,Female,6,Healthcare,9355,Fair,Very High,Average,0,Yes,44,Bachelor’s Degree,Married,3,Senior,Small,No,No,Yes,Poor,High,0
5254,48,Female,18,Technology,7976,Fair,High,High,0,Yes,32,High School,Single,2,Mid,Small,No,No,No,Good,Medium,0
54104,26,Male,3,Finance,8673,Excellent,High,Average,0,No,64,Associate Degree,Single,1,Entry,Large,No,No,Yes,Good,Medium,0
18361,47,Male,22,Education,5040,Fair,Very High,Low,3,Yes,7,High School,Married,0,Mid,Medium,Yes,No,No,Good,Low,1
1591,23,Female,2,Finance,7368,Fair,Very High,Below Average,0,No,15,Master’s Degree,Married,3,Senior,Small,No,No,Yes,Good,High,1
27451,52,Male,34,Media,5154,Fair,Medium,Average,0,Yes,16,High School,Single,2,Mid,Small,No,No,No,Fair,Medium,0
58305,51,Male,16,Healthcare,8407,Good,Very High,Average,1,No,63,Bachelor’s Degree,Single,1,Entry,Small,No,No,No,Good,Low,0
19684,50,Male,21,Education,4195,Good,Very High,Average,2,Yes,76,Bachelor’s Degree,Married,2,Entry,Small,Yes,No,No,Good,Very High,1
9392,45,Male,6,Education,4451,Fair,High,Average,0,No,81,High School,Married,2,Entry,Large,No,No,No,Fair,Medium,1
18598,31,Female,11,Technology,10122,Fair,High,Average,2,No,58,Bachelor’s Degree,Married,0,Senior,Small,Yes,No,No,Poor,Low,1
65665,29,Male,8,Finance,7946,Poor,Very High,Average,0,No,75,Associate Degree,Single,1,Mid,Medium,No,Yes,No,Poor,High,0
